symbol,timeframe,cluster,bars,signals,trades,wins,losses,win_rate,total_return_pct,ann_return_pct,max_dd_pct,sharpe,profit_factor,avg_pnl_pct,median_pnl_pct,avg_bars_held,cost_bps,final_equity,exit_SL,exit_TP,exit_BE,exit_TRAIL,exit_HORIZON,SL,TP,BE,trail_act,trail_dist,horizon,mc_dd_p5,mc_dd_p25,mc_dd_p50,mc_dd_p75,mc_dd_p95,mc_ruin_pct
ICPUSD,H1,crypto,14824,7988,1203,165,1038,13.7,-68.53,-10.92,71.57,-0.863,0.762,-0.2622,-0.375,9.2,37.5,31468.71,217,122,811,20,33,2.9256721184120185,4.50340580461919,0.48925352055811133,4.27903043511304,1.9849777347573312,45,68.8,69.9,71.3,72.9,75.9,100.0
ICPUSD,H4,crypto,3879,2138,454,81,373,17.8,-71.47,-11.79,74.16,-0.571,0.758,-0.413,-0.375,5.3,37.5,28526.13,116,1,249,19,69,1.7399498655137906,7.754591050669072,0.5537691532451001,4.043256924799545,0.54080424565029,13,71.7,73.9,76.0,78.5,81.8,100.0
IMXUSD,H1,crypto,35821,18776,1913,675,1238,35.3,-51.72,-7.02,75.4,-0.128,0.976,-0.0455,-0.375,15.5,37.5,48281.42,696,19,426,333,439,2.4621850279844675,9.328188365466534,1.7673448124444615,3.824015632025979,1.703991196953615,29,60.6,67.5,72.4,77.2,82.9,100.0
IMXUSD,H4,crypto,9131,4899,899,130,769,14.5,-85.24,-17.41,97.58,0.081,1.03,0.0555,-1.8298,7.4,37.5,14760.45,476,10,292,61,60,0.8118664747503922,9.736078828775499,0.9494230232425481,4.625610526707743,2.382078780224382,34,91.4,94.4,96.3,97.8,99.0,100.0
LNKUSD,H1,crypto,40023,20997,3537,822,2715,23.2,-99.86,-48.18,99.93,-0.389,0.904,-0.1383,-0.375,8.6,37.5,139.72,1693,7,1011,760,66,1.3696429311933234,9.571536657475793,1.2243777317395894,3.0113741669054845,0.5927559959213929,45,99.9,99.9,99.9,99.9,100.0,100.0
LNKUSD,H4,crypto,11289,5874,628,218,410,34.7,-87.28,-18.63,91.81,-0.135,0.94,-0.267,-0.375,14.7,37.5,12722.47,280,29,105,88,126,2.2501168088589583,7.461327202841849,1.954684081880774,3.243519325486941,2.458690299767546,30,88.6,91.7,94.0,95.7,97.4,100.0
LTCUSD,H1,crypto,70260,35171,4379,1557,2822,35.6,-98.08,-32.66,98.57,-0.967,0.881,-0.1906,-0.375,12.9,37.5,1916.45,1520,27,1189,1393,250,2.488529656965472,7.510357827476475,1.4275056804844501,2.621324032012745,0.505378463891148,41,98.1,98.3,98.5,98.7,99.0,100.0
LTCUSD,H4,crypto,18061,8874,1799,219,1580,12.2,-90.99,-21.39,90.99,-0.482,0.869,-0.2039,-0.375,6.6,37.5,9008.45,351,7,1223,136,82,2.08822700490509,8.951397080158435,0.33024507097376016,4.53151217410926,0.7864755962615534,32,91.4,92.7,93.7,94.9,96.2,100.0
MANUSD,H1,crypto,44783,22984,2907,526,2381,18.1,-98.14,-32.86,98.61,-0.545,0.9,-0.153,-0.375,12.6,37.5,1861.28,1231,14,1140,320,202,1.612613486048774,9.874781675911832,1.185065298018485,4.996710273226145,1.0611394382794384,46,98.2,98.6,98.8,99.1,99.4,100.0
MANUSD,H4,crypto,11372,5770,923,209,714,22.6,-75.34,-13.06,86.12,-0.189,0.941,-0.1544,-0.375,9.2,37.5,24657.57,314,3,394,186,26,2.0005788698239932,7.6257149276759515,0.9212237069503019,2.9440303368876823,0.5029506755291765,40,78.6,83.0,86.4,89.2,92.7,100.0
NEOUSD,H1,crypto,41385,21404,2376,574,1802,24.2,-66.11,-10.26,74.99,-0.38,0.924,-0.1061,-0.375,14.0,37.5,33885.73,582,68,1154,226,346,2.999289560926751,8.010459526759208,0.9842130076346938,4.678093019348556,2.0861754103067263,34,68.0,72.0,74.7,78.1,82.9,100.0
NEOUSD,H4,crypto,10710,5389,527,183,344,34.7,-69.54,-11.21,75.5,-0.296,0.898,-0.3459,-0.375,17.0,37.5,30460.35,236,18,99,126,48,2.2352401351824325,7.385382063564323,1.9302840300247666,2.9835817125762,2.057936808835509,48,72.1,76.3,79.6,82.9,87.0,100.0
NERUSD,H1,crypto,38400,20163,2902,372,2530,12.8,-98.41,-33.9,99.04,-0.991,0.787,-0.2648,-0.375,9.9,37.5,1592.12,656,75,1869,173,129,2.1839626000838535,8.01935442416835,0.5126115073597032,4.847216469385719,2.4648603156578845,48,98.4,98.5,98.7,98.9,99.2,100.0
NERUSD,H4,crypto,10045,5383,1354,241,1113,17.8,-83.14,-16.31,90.63,-0.056,0.984,-0.0281,-0.375,4.4,37.5,16857.85,438,3,674,220,19,1.216380497859162,6.042188396628138,0.42579998656675894,2.5686138162723666,0.5412258696369161,23,87.1,91.0,93.4,95.4,97.5,100.0
SANUSD,H1,crypto,39223,20192,3541,559,2982,15.8,-100.0,-98.01,100.0,-2.007,0.09,-10.6248,-1.2069,8.5,37.5,0.0,2073,11,906,472,79,0.9277839467700388,9.063233020424546,1.321895519963455,3.9782540222861593,0.5411689885916049,47,100.0,100.0,100.0,100.0,100.0,100.0
SANUSD,H4,crypto,11499,5895,1189,247,942,20.8,-100.0,-96.71,100.0,-2.005,0.065,-31.6799,-2.5725,6.9,37.5,0.0,797,1,142,233,16,0.9403665750453166,8.696507676782797,1.843528485471663,2.8681360789842416,0.5636817222764159,47,100.0,100.0,100.0,100.0,100.0,100.0
SOLUSD,H1,crypto,6947,3755,551,266,285,48.3,-19.91,-2.2,40.28,-0.177,0.943,-0.0615,-0.2865,9.7,37.5,80085.86,214,35,16,135,151,1.9486067938800409,4.918106308040667,1.9307791431589438,2.212909870071808,1.2435267606325875,18,26.8,31.9,35.4,39.5,45.3,0.0
SOLUSD,H4,crypto,1907,1099,152,41,111,27.0,74.34,5.72,44.85,0.352,1.308,0.438,-1.7464,9.9,37.5,174339.13,86,3,13,32,18,0.8400802969457343,8.343116750191971,1.5798264712248142,1.901640092969865,2.456231265055713,33,27.1,33.1,37.9,44.0,53.5,0.0
UNIUSD,H1,crypto,38778,19907,2528,601,1927,23.8,-84.83,-17.19,89.23,-0.3,0.942,-0.0816,-0.375,12.5,37.5,15171.04,1031,62,863,244,328,1.7743716420722437,6.766489084676622,1.3051060360162052,4.853272907211094,0.5875007671308776,33,86.6,88.8,91.0,92.9,95.2,100.0
UNIUSD,H4,crypto,10001,5199,724,123,601,17.0,33.44,2.93,66.89,0.276,1.122,0.2557,-0.375,10.9,37.5,133441.83,264,28,337,60,35,1.4586296730385058,7.74231374750395,0.9025180044141148,4.926407247292146,2.0220063932553525,47,59.6,67.4,73.7,80.0,87.0,0.0
VECUSD,H1,crypto,39143,20224,3621,1090,2531,30.1,-100.0,-71.74,100.0,-1.829,0.755,-0.3563,-1.4241,8.0,37.5,0.32,2213,19,296,1013,80,1.1863366571262661,7.023628498251501,1.9116501502640948,2.537438653612785,0.6376110481523865,38,100.0,100.0,100.0,100.0,100.0,100.0
VECUSD,H4,crypto,10401,5397,993,130,863,13.1,-75.29,-13.05,92.81,-0.129,0.94,-0.1009,-0.375,7.2,37.5,24706.78,237,12,623,53,68,1.7607991416637243,8.706752712973817,0.4186845748690883,4.638290483138365,2.4419203695848397,30,78.9,83.5,87.0,90.1,93.4,100.0
XLMUSD,H1,crypto,55877,28616,2827,864,1963,30.6,-98.81,-35.77,98.93,-1.061,0.798,-0.3739,-0.375,16.9,37.5,1194.35,961,672,898,9,287,2.794011576758303,3.62580949188206,1.558021007061504,3.59554151377858,1.8810213521857684,46,98.8,98.9,99.0,99.1,99.3,100.0
XLMUSD,H4,crypto,15009,7573,1409,209,1200,14.8,-99.96,-53.74,99.96,-0.386,0.887,-0.2459,-1.8642,8.0,37.5,44.86,848,2,351,174,34,0.9277839467700388,9.063233020424546,1.321895519963455,3.9782540222861593,0.5411689885916049,47,100.0,100.0,100.0,100.0,100.0,100.0
XMRUSD,H1,crypto,60512,30347,5503,928,4575,16.9,-100.0,-68.4,100.0,-0.908,0.88,-0.1238,-0.982,8.3,37.5,0.99,3258,53,1306,608,278,0.8543578268911639,7.390284848092615,1.5030063375181077,4.457534226030625,0.7174751972613174,38,100.0,100.0,100.0,100.0,100.0,100.0
XMRUSD,H4,crypto,15510,7743,1419,235,1184,16.6,-91.68,-22.01,97.09,0.051,1.014,0.0266,-1.7127,8.3,37.5,8324.1,811,7,371,187,43,0.9277839467700388,9.063233020424546,1.321895519963455,3.9782540222861593,0.5411689885916049,47,94.5,96.7,97.9,98.7,99.4,100.0
XRPUSD,H1,crypto,67177,32677,4342,2269,2073,52.3,-97.15,-29.93,99.19,-0.68,0.916,-0.1483,0.5471,12.0,37.5,2852.84,1860,27,29,2106,320,2.3431452779707906,9.995817452189073,1.857410945815784,1.878227726110848,0.5016052965829045,39,97.3,97.6,98.0,98.3,98.8,100.0
XRPUSD,H4,crypto,17245,8242,1588,213,1375,13.4,-99.97,-55.32,99.99,-0.573,0.85,-0.285,-0.375,7.7,37.5,31.73,784,32,589,128,55,0.9331110035150929,8.778552682351322,0.8544999510427925,3.888099929640445,2.2676046872482196,47,100.0,100.0,100.0,100.0,100.0,100.0
XTZUSD,H1,crypto,35945,18678,2898,653,2245,22.5,-80.64,-15.14,88.43,-0.364,0.915,-0.0979,-0.375,9.2,37.5,19362.07,689,68,1545,562,34,2.4494242161213493,5.0230683088404575,0.7334203032542462,3.0100162431716315,0.5790182486571955,47,82.0,84.6,86.7,89.1,92.3,100.0
XTZUSD,H4,crypto,9899,5113,573,138,435,24.1,24.2,2.19,87.68,0.289,1.137,0.4244,-2.8033,14.6,37.5,124198.68,324,7,107,79,56,1.4755039563379244,9.490571440895273,1.9965447564906562,4.610115259359311,1.4032204452829324,45,65.7,74.9,80.5,85.5,91.6,0.0
