symbol,status,error,gpu,timeframe,best_ev,trials,rows,device_used,cluster,calmar_score,fee_bps,spread_bps,slippage_bps,best_num_boost_round,best_max_depth,best_gamma,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda,best_min_child_weight,best_eta,best_colsample_bylevel,n_features,htf_enabled
FETUSD,ok,,0,H1,0.0011548226778546806,600,3411,cuda,crypto,0.0011548226778546806,6.5,2.9027576197400435,8.0,1285,6,0.1869043736103666,0.8701896480966504,0.5239081031478543,0.007757960206884186,0.4324363207258044,131.43584988102657,0.09909915217132569,0.6371191398909717,39,false
GALUSD,killed_negative_ev,,0,H1,-0.0006488620448560651,200,3499,cuda,crypto,-0.0006488620448560651,6.5,8.729812309035,8.0,,,,,,,,,,,,
GRTUSD,killed_negative_ev,,0,H1,-0.0004577081800608159,200,3517,cuda,crypto,-0.0004577081800608159,6.5,4.847701381594136,8.0,,,,,,,,,,,,
ICPUSD,ok,,0,H1,0.0008473790605362378,600,3430,cuda,crypto,0.0008473790605362378,6.5,5.96006754743243,8.0,869,7,3.511901142731483,0.6985531526389595,0.6700112155877582,0.014599124364594976,0.0031400573973203736,55.0561342292648,0.02933254557616976,0.588822755381195,39,false
IMXUSD,killed_negative_ev,,0,H1,-0.00032250007910277916,200,3460,cuda,crypto,-0.00032250007910277916,6.5,6.926646810278381,8.0,,,,,,,,,,,,
LNKUSD,killed_negative_ev,,0,H1,-0.00031340271654109345,200,3441,cuda,crypto,-0.00031340271654109345,6.5,1.9212911076243964,8.0,,,,,,,,,,,,
LTCUSD,killed_negative_ev,,0,H1,-0.003071053274012935,200,8608,cuda,crypto,-0.003071053274012935,6.5,27.939847152601153,8.0,,,,,,,,,,,,
MANUSD,killed_negative_ev,,0,H1,-0.0015336086380063724,200,3450,cuda,crypto,-0.0015336086380063724,6.5,11.930801352156172,8.0,,,,,,,,,,,,
NEOUSD,killed_negative_ev,,0,H1,-0.02411933078556994,200,8638,cuda,crypto,-0.02411933078556994,6.5,240.9638554216865,8.0,,,,,,,,,,,,
NERUSD,killed_negative_ev,,0,H1,-0.002688742455568116,200,3430,cuda,crypto,-0.002688742455568116,6.5,31.41126318151275,8.0,,,,,,,,,,,,
SANUSD,killed_negative_ev,,0,H1,-0.0013162584661325456,200,3442,cuda,crypto,-0.0013162584661325456,6.5,11.10083256244096,8.0,,,,,,,,,,,,
SOLUSD,killed_negative_ev,,0,H1,-0.000534772137399254,200,3422,cuda,crypto,-0.000534772137399254,6.5,1.7426156661144916,8.0,,,,,,,,,,,,
UNIUSD,killed_negative_ev,,0,H1,-0.00014213963767599605,200,3304,cuda,crypto,-0.00014213963767599605,6.5,2.9615492193031243,8.0,,,,,,,,,,,,
VECUSD,killed_negative_ev,,0,H1,-0.001071337297174347,200,3417,cuda,crypto,-0.001071337297174347,6.5,8.81445570736124,8.0,,,,,,,,,,,,
XLMUSD,killed_negative_ev,,0,H1,-0.0007791696685378127,200,3378,cuda,crypto,-0.0007791696685378127,6.5,3.100294527979816,8.0,,,,,,,,,,,,
XMRUSD,killed_negative_ev,,0,H1,-0.010051995400868768,200,8021,cuda,crypto,-0.010051995400868768,6.5,97.69961808331063,8.0,,,,,,,,,,,,
XRPUSD,killed_negative_ev,,0,H1,-0.0042763730045998535,200,8249,cuda,crypto,-0.0042763730045998535,6.5,40.947645510383644,8.0,,,,,,,,,,,,
XTZUSD,killed_negative_ev,,0,H1,-0.005380508096455026,200,3367,cuda,crypto,-0.005380508096455026,6.5,48.979591836734734,8.0,,,,,,,,,,,,
