symbol,status,gpu,timeframe,best_ev,trials,rows,device_used,cluster,calmar_score,fee_bps,spread_bps,slippage_bps,best_num_boost_round,best_max_depth,best_gamma,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda,best_min_child_weight,best_eta,best_colsample_bylevel,timeframe_run
DASHUSD,killed_negative_ev,0,M15,-0.001969449147953269,200,33950,cuda,crypto,-0.001969449147953269,6.5,9.131030284581959,8.0,,,,,,,,,,,M15
DBKGn,killed_negative_ev,0,M15,-0.000877715098988016,200,8722,cuda,equity,-0.000877715098988016,0.4,10.480349344978563,2.5,,,,,,,,,,,M15
DOGEUSD,killed_negative_ev,0,M15,-0.0036568777769546913,200,33281,cuda,crypto,-0.0036568777769546913,6.5,25.193029928387073,8.0,,,,,,,,,,,M15
DOTUSD,killed_negative_ev,0,M15,-0.00476854692061143,200,33988,cuda,crypto,-0.00476854692061143,6.5,35.26093088857627,8.0,,,,,,,,,,,M15
DXY.cash,killed_negative_ev,0,M15,-0.0007876255022377739,200,12344,cuda,forex,-0.0007876255022377739,0.13999999999999999,2.7395453369373723,3.0,,,,,,,,,,,M15
ETCUSD,killed_negative_ev,0,M15,-0.0017970414769833832,200,13151,cuda,crypto,-0.0017970414769833832,6.5,3.954913980620486,8.0,,,,,,,,,,,M15
ETHUSD,killed_negative_ev,0,M15,-0.0027059890320647825,200,33081,cuda,crypto,-0.0027059890320647825,6.5,12.383220370031541,8.0,,,,,,,,,,,M15
EU50.cash,killed_negative_ev,0,M15,-0.00036426119452529534,200,18571,cuda,index,-0.00036426119452529534,0.0,3.062474479379339,1.5,,,,,,,,,,,M15
EUR_AUD,killed_negative_ev,0,M15,-0.0003418421893636261,200,24942,cuda,forex,-0.0003418421893636261,0.5,0.9578894877276074,1.5,,,,,,,,,,,M15
EUR_CAD,killed_negative_ev,0,M15,-0.00036859929508297514,200,24710,cuda,forex,-0.00036859929508297514,0.5,1.0203491634828765,1.5,,,,,,,,,,,M15
EUR_CHF,killed_negative_ev,0,M15,-0.00036706428114961206,200,24354,cuda,forex,-0.00036706428114961206,0.5,0.9617491010321119,1.5,,,,,,,,,,,M15
EUR_CZK,killed_negative_ev,0,M15,-0.0012678509022623341,200,22572,cuda,forex,-0.0012678509022623341,0.5,6.709345559251877,3.0,,,,,,,,,,,M15
EUR_GBP,killed_negative_ev,0,M15,-0.000366217180375057,200,24464,cuda,forex,-0.000366217180375057,0.5,0.8214950035502021,1.5,,,,,,,,,,,M15
EUR_HUF,killed_negative_ev,0,M15,-0.0011242937123307503,200,22794,cuda,forex,-0.0011242937123307503,0.5,5.593052521785947,3.0,,,,,,,,,,,M15
EUR_JPY,killed_negative_ev,0,M15,-0.0003104898804566439,200,24961,cuda,forex,-0.0003104898804566439,0.5,0.8469814991000176,1.5,,,,,,,,,,,M15
EUR_NOK,killed_negative_ev,0,M15,-0.0010023666319753336,200,23771,cuda,forex,-0.0010023666319753336,0.5,4.599265323348458,3.0,,,,,,,,,,,M15
EUR_NZD,killed_negative_ev,0,M15,-0.00036884047549676067,200,25106,cuda,forex,-0.00036884047549676067,0.5,1.2002228985385486,1.5,,,,,,,,,,,M15
EUR_PLN,killed_negative_ev,0,M15,-0.001132108173668654,200,23386,cuda,forex,-0.001132108173668654,0.5,5.505218488358151,3.0,,,,,,,,,,,M15
EUR_USD,killed_negative_ev,0,M15,-0.0002805058282891731,200,25070,cuda,forex,-0.0002805058282891731,0.5,0.27465107869187805,1.5,,,,,,,,,,,M15
FETUSD,killed_negative_ev,0,M15,-0.0012747623050323948,200,13248,cuda,crypto,-0.0012747623050323948,6.5,2.9027576197400435,8.0,,,,,,,,,,,M15
FRA40.cash,killed_negative_ev,0,M15,-0.0002585394333218396,200,18373,cuda,index,-0.0002585394333218396,0.0,1.9992239037647894,1.5,,,,,,,,,,,M15
GALUSD,killed_negative_ev,0,M15,-0.0019783661963417233,200,13325,cuda,crypto,-0.0019783661963417233,6.5,8.729812309035,8.0,,,,,,,,,,,M15
GBPJPY,killed_negative_ev,0,M15,-0.0012640304334945367,200,25222,cuda,forex,-0.0012640304334945367,3.0,0.9527086034880081,5.0,,,,,,,,,,,M15
GBP_AUD,killed_negative_ev,0,M15,-0.000361872694096447,200,25024,cuda,forex,-0.000361872694096447,0.5,1.1241474197159549,1.5,,,,,,,,,,,M15
GBP_CAD,killed_negative_ev,0,M15,-0.00036340947095336114,200,24841,cuda,forex,-0.00036340947095336114,0.5,0.9585484193831207,1.5,,,,,,,,,,,M15
GBP_CHF,killed_negative_ev,0,M15,-0.0003804402558578873,200,24755,cuda,forex,-0.0003804402558578873,0.5,1.2674615461222827,1.5,,,,,,,,,,,M15
GBP_JPY,killed_negative_ev,0,M15,-0.00031403043349453657,200,25222,cuda,forex,-0.00031403043349453657,0.5,0.9527086034880081,1.5,,,,,,,,,,,M15
GBP_NZD,killed_negative_ev,0,M15,-0.00035297883673073986,200,25258,cuda,forex,-0.00035297883673073986,0.5,1.023438977451746,1.5,,,,,,,,,,,M15
GBP_USD,killed_negative_ev,0,M15,-0.00030636056114027036,200,25020,cuda,forex,-0.00030636056114027036,0.5,0.5334044539273007,1.5,,,,,,,,,,,M15
GER40.cash,killed_negative_ev,0,M15,-0.00015876103512919309,200,23117,cuda,index,-0.00015876103512919309,0.0,0.6510143715328602,1.5,,,,,,,,,,,M15
GOOG,killed_negative_ev,0,M15,-0.0002115244394732905,200,6222,cuda,equity,-0.0002115244394732905,0.4,5.047045675762874,2.5,,,,,,,,,,,M15
GRTUSD,killed_negative_ev,0,M15,-0.0017129210391586948,200,13594,cuda,crypto,-0.0017129210391586948,6.5,4.847701381594136,8.0,,,,,,,,,,,M15
HEATOIL.c,killed_negative_ev,0,M15,-0.041224719819181646,200,13059,cuda,commodity,-0.041224719819181646,0.13999999999999999,410.4403267583174,3.0,,,,,,,,,,,M15
HK50.cash,killed_negative_ev,0,M15,-0.0001834686349380352,200,18057,cuda,index,-0.0001834686349380352,0.0,2.636512772439653,1.5,,,,,,,,,,,M15
IBE,killed_negative_ev,0,M15,-0.0030450157958188777,200,8771,cuda,equity,-0.0030450157958188777,0.4,29.090909090908468,2.5,,,,,,,,,,,M15
ICPUSD,killed_negative_ev,0,M15,-0.001633876129218659,200,13318,cuda,crypto,-0.001633876129218659,6.5,5.96006754743243,8.0,,,,,,,,,,,M15
IMXUSD,killed_negative_ev,0,M15,-0.0016626984390247456,200,13766,cuda,crypto,-0.0016626984390247456,6.5,6.926646810278381,8.0,,,,,,,,,,,M15
JP225.cash,killed_negative_ev,0,M15,-0.00012370130778397456,200,24469,cuda,index,-0.00012370130778397456,0.0,1.312811763171032,1.5,,,,,,,,,,,M15
LNKUSD,killed_negative_ev,0,M15,-0.0014520575618294992,200,13349,cuda,crypto,-0.0014520575618294992,6.5,1.9212911076243964,8.0,,,,,,,,,,,M15
LTCUSD,killed_negative_ev,0,M15,-0.004129358772432521,200,33711,cuda,crypto,-0.004129358772432521,6.5,27.939847152601153,8.0,,,,,,,,,,,M15
LVMH,killed_negative_ev,0,M15,-0.000060400412087144286,200,8717,cuda,equity,-0.000060400412087144286,0.4,2.429656764257795,2.5,,,,,,,,,,,M15
MANUSD,killed_negative_ev,0,M15,-0.0023863142628464803,200,13426,cuda,crypto,-0.0023863142628464803,6.5,11.930801352156172,8.0,,,,,,,,,,,M15
META,killed_negative_ev,0,M15,-0.00010458162752852774,200,6311,cuda,equity,-0.00010458162752852774,0.4,5.26092147062971,2.5,,,,,,,,,,,M15
MSFT,ok,0,M15,0.0000727170083408019,800,6495,cuda,equity,0.0000727170083408019,0.4,3.352490421456973,2.5,1415,8,0.0033306227783343307,0.6335114235045208,0.6972777332152559,0.0026627427896194216,0.0000735758135584889,0.35640759740628963,0.2785395471512885,0.42794200044860886,M15
N25.cash,killed_negative_ev,0,M15,-0.0014882982933952097,200,14395,cuda,index,-0.0014882982933952097,0.0,14.378888894635708,1.5,,,,,,,,,,,M15
NATGAS.cash,killed_negative_ev,0,M15,-0.010847355470177972,200,16295,cuda,commodity,-0.010847355470177972,0.13999999999999999,110.62260672244986,3.0,,,,,,,,,,,M15
NEOUSD,killed_negative_ev,0,M15,-0.025243105247183734,200,33464,cuda,crypto,-0.025243105247183734,6.5,240.9638554216865,8.0,,,,,,,,,,,M15
NERUSD,killed_negative_ev,0,M15,-0.004266013130787717,200,13541,cuda,crypto,-0.004266013130787717,6.5,31.41126318151275,8.0,,,,,,,,,,,M15
NFLX,killed_negative_ev,0,M15,-0.0008567022160016511,200,6473,cuda,equity,-0.0008567022160016511,0.4,11.373329542223242,2.5,,,,,,,,,,,M15
NVDA,ok,0,M15,0.00004188429049224794,800,6224,cuda,equity,0.00004188429049224794,0.4,5.568858940802714,2.5,1560,2,0.006304936496654734,0.8197579462865587,0.568265812739986,1.789748832907663,0.0000364434629629312,9.172695046208469,0.01562682929632555,0.969124128307409,M15
NZDUSD,killed_negative_ev,0,M15,-0.0013075460392314479,200,25551,cuda,forex,-0.0013075460392314479,3.0,1.3918853086500278,5.0,,,,,,,,,,,M15
NZD_CAD,killed_negative_ev,0,M15,-0.00042597842352624975,200,25126,cuda,forex,-0.00042597842352624975,0.5,1.7756627661272617,1.5,,,,,,,,,,,M15
NZD_CHF,killed_negative_ev,0,M15,-0.00048269489646511,200,25281,cuda,forex,-0.00048269489646511,0.5,2.559508574354254,1.5,,,,,,,,,,,M15
NZD_JPY,killed_negative_ev,0,M15,-0.00035424658898755476,200,25436,cuda,forex,-0.00035424658898755476,0.5,1.5361657303366172,1.5,,,,,,,,,,,M15
NZD_USD,killed_negative_ev,0,M15,-0.000357546039231448,200,25551,cuda,forex,-0.000357546039231448,0.5,1.3918853086500278,1.5,,,,,,,,,,,M15
PFE,killed_negative_ev,0,M15,-0.0012354586933384772,200,6547,cuda,equity,-0.0012354586933384772,0.4,13.932427725530877,2.5,,,,,,,,,,,M15
RACE,killed_negative_ev,0,M15,-0.0019030615872830208,200,6429,cuda,equity,-0.0019030615872830208,0.4,20.967017268988975,2.5,,,,,,,,,,,M15
SANUSD,killed_negative_ev,0,M15,-0.002320396926374943,200,13321,cuda,crypto,-0.002320396926374943,6.5,11.10083256244096,8.0,,,,,,,,,,,M15
SOLUSD,killed_negative_ev,0,M15,-0.0015458830907591837,200,13454,cuda,crypto,-0.0015458830907591837,6.5,1.7426156661144916,8.0,,,,,,,,,,,M15
SOYBEAN.c,killed_negative_ev,0,M15,-0.002406066311633493,200,18385,cuda,commodity,-0.002406066311633493,0.0,18.773244574786244,4.0,,,,,,,,,,,M15
SPN35.cash,killed_negative_ev,0,M15,-0.0004414631027420071,200,12053,cuda,index,-0.0004414631027420071,0.0,4.410105927352602,1.5,,,,,,,,,,,M15
SUGAR.c,killed_negative_ev,0,M15,-0.007973783960706715,200,4558,cuda,commodity,-0.007973783960706715,0.0,77.38304607808612,4.0,,,,,,,,,,,M15
T,killed_negative_ev,0,M15,-0.003332842783761674,200,6353,cuda,equity,-0.003332842783761674,0.4,34.10641200545751,2.5,,,,,,,,,,,M15
TSLA,ok,0,M15,0.0010363217061270925,800,6529,cuda,equity,0.0010363217061270925,0.4,5.459654757124338,2.5,1793,6,0.0263780380848671,0.542358894734265,0.5011053048652349,10.24714405874115,0.002583444625822394,0.6220855217689516,0.010926810987966542,0.3866402304593389,M15
UK100.cash,killed_negative_ev,0,M15,-0.0002553488843809463,200,23096,cuda,index,-0.0002553488843809463,0.0,1.2533385058405841,1.5,,,,,,,,,,,M15
UKOIL.cash,killed_negative_ev,0,M15,-0.00047066019590824766,200,22310,cuda,commodity,-0.00047066019590824766,0.0,2.6754063273354323,3.0,,,,,,,,,,,M15
UNIUSD,killed_negative_ev,0,M15,-0.0013921022848810164,200,13304,cuda,crypto,-0.0013921022848810164,6.5,2.9615492193031243,8.0,,,,,,,,,,,M15
US100.cash,killed_negative_ev,0,M15,-0.00011385513438813774,200,24369,cuda,index,-0.00011385513438813774,0.0,0.617091902983242,1.5,,,,,,,,,,,M15
US2000.cash,killed_negative_ev,0,M15,-0.00044705548671075744,200,24036,cuda,index,-0.00044705548671075744,0.0,4.292572719571975,1.5,,,,,,,,,,,M15
US30.cash,killed_negative_ev,0,M15,-0.00017352620591722535,200,23908,cuda,index,-0.00017352620591722535,0.0,0.4632369971955916,1.5,,,,,,,,,,,M15
US500.cash,killed_negative_ev,0,M15,-0.00022101098681358796,200,24503,cuda,index,-0.00022101098681358796,0.0,1.046691147608667,1.5,,,,,,,,,,,M15
USDCNH,killed_negative_ev,0,M15,-0.0013635935134986732,200,10819,cuda,forex,-0.0013635935134986732,3.0,0.9569105933477012,5.0,,,,,,,,,,,M15
USDZAR,killed_negative_ev,0,M15,-0.0016888964040667786,200,24092,cuda,forex,-0.0016888964040667786,3.0,5.542311514787658,5.0,,,,,,,,,,,M15
USD_CAD,killed_negative_ev,0,M15,-0.0003206527364699517,200,25234,cuda,forex,-0.0003206527364699517,0.5,0.44250724605577796,1.5,,,,,,,,,,,M15
USD_CHF,killed_negative_ev,0,M15,-0.0003177376205960238,200,25203,cuda,forex,-0.0003177376205960238,0.5,0.7569545196500347,1.5,,,,,,,,,,,M15
USD_CNH,killed_negative_ev,0,M15,-0.0007135935134986734,200,10819,cuda,forex,-0.0007135935134986734,0.5,0.9569105933477012,3.0,,,,,,,,,,,M15
USD_CZK,killed_negative_ev,0,M15,-0.0011654655622825567,200,24945,cuda,forex,-0.0011654655622825567,0.5,6.337305306378557,3.0,,,,,,,,,,,M15
USD_HKD,killed_negative_ev,0,M15,-0.0006911072449634042,200,23429,cuda,forex,-0.0006911072449634042,0.5,0.5248991009508555,3.0,,,,,,,,,,,M15
USD_HUF,killed_negative_ev,0,M15,-0.0010376723705055868,200,24566,cuda,forex,-0.0010376723705055868,0.5,5.306908725666221,3.0,,,,,,,,,,,M15
USD_ILS,killed_negative_ev,0,M15,-0.0011155015313082785,200,22920,cuda,forex,-0.0011155015313082785,0.5,6.289042516742918,3.0,,,,,,,,,,,M15
USD_JPY,killed_negative_ev,0,M15,-0.0002605440560282093,200,25172,cuda,forex,-0.0002605440560282093,0.5,0.464975705019745,1.5,,,,,,,,,,,M15
USD_MXN,killed_negative_ev,0,M15,-0.0007519029356019748,200,24289,cuda,forex,-0.0007519029356019748,0.5,2.5834465661268124,3.0,,,,,,,,,,,M15
USD_NOK,killed_negative_ev,0,M15,-0.000956385400134491,200,24723,cuda,forex,-0.000956385400134491,0.5,4.552249370418814,3.0,,,,,,,,,,,M15
USD_PLN,killed_negative_ev,0,M15,-0.0010191659549631297,200,25092,cuda,forex,-0.0010191659549631297,0.5,4.982873113502836,3.0,,,,,,,,,,,M15
USD_SEK,killed_negative_ev,0,M15,-0.0010232263377092377,200,24646,cuda,forex,-0.0010232263377092377,0.5,5.204350412098774,3.0,,,,,,,,,,,M15
USD_SGD,killed_negative_ev,0,M15,-0.0008159417202657241,200,11026,cuda,forex,-0.0008159417202657241,0.5,2.2344704305093774,3.0,,,,,,,,,,,M15
USD_ZAR,killed_negative_ev,0,M15,-0.001038896404066779,200,24092,cuda,forex,-0.001038896404066779,0.5,5.542311514787658,3.0,,,,,,,,,,,M15
USOIL.cash,killed_negative_ev,0,M15,-0.0005822450063178624,200,24427,cuda,commodity,-0.0005822450063178624,0.0,3.8984148542171044,3.0,,,,,,,,,,,M15
V,killed_negative_ev,0,M15,-0.0005158883074089333,200,6384,cuda,equity,-0.0005158883074089333,0.4,5.518594597909276,2.5,,,,,,,,,,,M15
VECUSD,killed_negative_ev,0,M15,-0.0021459786762082424,200,13513,cuda,crypto,-0.0021459786762082424,6.5,8.81445570736124,8.0,,,,,,,,,,,M15
VOWG_p,killed_negative_ev,0,M15,-0.002763958083027725,200,8878,cuda,equity,-0.002763958083027725,0.4,28.74198540791566,2.5,,,,,,,,,,,M15
WHEAT.c,killed_negative_ev,0,M15,-0.0024564986752216803,200,18178,cuda,commodity,-0.0024564986752216803,0.0,20.51097517092455,4.0,,,,,,,,,,,M15
WMT,killed_negative_ev,0,M15,-0.0009890148327511602,200,6698,cuda,equity,-0.0009890148327511602,0.4,10.290183165261217,2.5,,,,,,,,,,,M15
XAG_AUD,killed_negative_ev,0,M15,-0.0003958580757297726,200,23566,cuda,commodity,-0.0003958580757297726,0.13999999999999999,4.121826865349976,2.0,,,,,,,,,,,M15
XAG_EUR,killed_negative_ev,0,M15,-0.0004328741124765419,200,23770,cuda,commodity,-0.0004328741124765419,0.13999999999999999,4.552049844945301,2.0,,,,,,,,,,,M15
XAG_USD,killed_negative_ev,0,M15,-0.000502670177742066,200,23872,cuda,commodity,-0.000502670177742066,0.13999999999999999,5.362183985995067,2.0,,,,,,,,,,,M15
XAU_AUD,killed_negative_ev,0,M15,-0.00027796742504412186,200,23895,cuda,commodity,-0.00027796742504412186,0.13999999999999999,0.9751875712335176,2.0,,,,,,,,,,,M15
XAU_EUR,killed_negative_ev,0,M15,-0.0003432263638133225,200,23833,cuda,commodity,-0.0003432263638133225,0.13999999999999999,1.5961437167796138,2.0,,,,,,,,,,,M15
XAU_USD,killed_negative_ev,0,M15,-0.00026080397010138615,200,23968,cuda,commodity,-0.00026080397010138615,0.13999999999999999,0.7966611047918627,2.0,,,,,,,,,,,M15
XCU_USD,killed_negative_ev,0,M15,-0.0008111600861555124,200,12602,cuda,commodity,-0.0008111600861555124,0.13999999999999999,8.34999670394857,2.0,,,,,,,,,,,M15
XLMUSD,killed_negative_ev,0,M15,-0.0016236715026080376,200,13505,cuda,crypto,-0.0016236715026080376,6.5,3.100294527979816,8.0,,,,,,,,,,,M15
XMRUSD,killed_negative_ev,0,M15,-0.011071074935583961,200,34342,cuda,crypto,-0.011071074935583961,6.5,97.69961808331063,8.0,,,,,,,,,,,M15
XPD_USD,killed_negative_ev,0,M15,-0.0044568264876767025,200,22977,cuda,commodity,-0.0044568264876767025,0.13999999999999999,46.62875319292502,2.0,,,,,,,,,,,M15
XPT_USD,killed_negative_ev,0,M15,-0.002529489122404823,200,23796,cuda,commodity,-0.002529489122404823,0.13999999999999999,25.863201643074046,2.0,,,,,,,,,,,M15
XRPUSD,killed_negative_ev,0,M15,-0.00541607096219157,200,33482,cuda,crypto,-0.00541607096219157,6.5,40.947645510383644,8.0,,,,,,,,,,,M15
XTZUSD,killed_negative_ev,0,M15,-0.006159875811525804,200,13260,cuda,crypto,-0.006159875811525804,6.5,48.979591836734734,8.0,,,,,,,,,,,M15
ZM,killed_negative_ev,0,M15,-0.0012762057711450056,200,6546,cuda,equity,-0.0012762057711450056,0.4,15.862363492159778,2.5,,,,,,,,,,,M15
AAPL,ok,0,M30,0.0010946241145796962,600,3397,cuda,equity,0.0010946241145796962,0.4,4.245710867090478,2.5,1391,5,0.005397326322264656,0.44927687367235825,0.787935459998525,0.007606806118003839,0.0004612761059197242,0.3570838383136768,0.26020842864489796,0.9462603019302918,M30
AAVUSD,killed_negative_ev,0,M30,-0.0009030853942784133,150,6724,cuda,crypto,-0.0009030853942784133,6.5,0.6320113762041969,8.0,,,,,,,,,,,M30
ADAUSD,killed_negative_ev,0,M30,-0.00462858107535762,150,17047,cuda,crypto,-0.00462858107535762,6.5,39.25104757863509,8.0,,,,,,,,,,,M30
AIRF,killed_negative_ev,0,M30,-0.0040599058366323805,150,4541,cuda,equity,-0.0040599058366323805,0.4,50.82592121982216,2.5,,,,,,,,,,,M30
ALGUSD,killed_negative_ev,0,M30,-0.002445014612613939,150,6740,cuda,crypto,-0.002445014612613939,6.5,15.548069448043261,8.0,,,,,,,,,,,M30
ALVG,killed_negative_ev,0,M30,-0.00035868286602626104,150,4575,cuda,equity,-0.00035868286602626104,0.4,4.975981320931483,2.5,,,,,,,,,,,M30
AMZN,ok,0,M30,0.0014651584249618108,600,3381,cuda,equity,0.0014651584249618108,0.4,4.884872438218071,2.5,1532,6,0.01212455477171915,0.4741590844137376,0.7239655211640897,0.014131757259055425,0.00008508878320675753,1.5589591971667345,0.25301593600419436,0.9581677016611286,M30
AUDNZD,killed_negative_ev,0,M30,-0.001310498771994065,150,12847,cuda,forex,-0.001310498771994065,3.0,1.0823486966708575,5.0,,,,,,,,,,,M30
AUD_CAD,killed_negative_ev,0,M30,-0.0003349660882119615,150,12653,cuda,forex,-0.0003349660882119615,0.5,1.2668067831751302,1.5,,,,,,,,,,,M30
AUD_CHF,killed_negative_ev,0,M30,-0.0003210727816922004,150,12633,cuda,forex,-0.0003210727816922004,0.5,1.600697192555593,1.5,,,,,,,,,,,M30
AUD_JPY,killed_negative_ev,0,M30,-0.00023897116197756205,150,12531,cuda,forex,-0.00023897116197756205,0.5,1.235152438396819,1.5,,,,,,,,,,,M30
AUD_NZD,killed_negative_ev,0,M30,-0.00036049877199406514,150,12847,cuda,forex,-0.00036049877199406514,0.5,1.0823486966708575,1.5,,,,,,,,,,,M30
AUD_USD,killed_negative_ev,0,M30,-0.00022510721672995554,150,12642,cuda,forex,-0.00022510721672995554,0.5,0.640717603716803,1.5,,,,,,,,,,,M30
AUS200.cash,killed_negative_ev,0,M30,-0.00019621059708086692,150,11624,cuda,index,-0.00019621059708086692,0.0,1.5653974905465313,1.5,,,,,,,,,,,M30
AVAUSD,killed_negative_ev,0,M30,-0.0018968674677202033,150,6689,cuda,crypto,-0.0018968674677202033,6.5,9.892827699917936,8.0,,,,,,,,,,,M30
BABA,ok,0,M30,0.0007700835965930355,600,3439,cuda,equity,0.0007700835965930355,0.4,7.91870133298169,2.5,356,5,0.004453036643031027,0.6073634588785807,0.36678128065897414,3.6283116925049708,0.02404524474106435,0.4022691395200646,0.08300537454096726,0.5790601466660985,M30
BAC,killed_negative_ev,0,M30,-0.0016344329609299369,150,3404,cuda,equity,-0.0016344329609299369,0.4,18.96094046264722,2.5,,,,,,,,,,,M30
BARUSD,killed_negative_ev,0,M30,-0.0013867060936299713,150,6836,cuda,crypto,-0.0013867060936299713,6.5,4.890573419733265,8.0,,,,,,,,,,,M30
BAYGn,killed_negative_ev,0,M30,-0.00013172045460703254,150,4320,cuda,equity,-0.00013172045460703254,0.4,14.886490509861982,2.5,,,,,,,,,,,M30
BCHUSD,killed_negative_ev,0,M30,-0.0026374521863242947,150,16804,cuda,crypto,-0.0026374521863242947,6.5,17.049580601366117,8.0,,,,,,,,,,,M30
